"id","pid","product_sku","product_name","product_location","package_id","product_quantity","counted_quantity","difference","tare_pcs","tare_gram","tare_gross","counted_user","counted_time","confirm_user","confirm_time","status","integrated"
"110571","18445","2514-911-18445","Impetollo","MDL04R0807","1844500010001","500","500","0","0","0","0","milena12","2022-10-20 14:07:34",NULL,NULL,"single","1"
"110572","17971","2410-911-17971","Scuppy # Blue","MB_KOM348","1797100010001","12","12","0","0","0","0","milena12","2022-10-20 07:56:19",NULL,NULL,"single","1"
"110573","16959","2074-911-16959","Kitty white","MLL01R0901","1695900010001","170","170","0","0","0","0","lucijan1","2022-10-19 07:44:52",NULL,NULL,"single","1"
"110574","14465","1688-911-14465","Xplorer","MDL03R0408","1446500010001","364","400","36","0","0","0","milena12","2022-10-20 10:39:01",NULL,NULL,"single","1"
"110575","18690","2656-911-18690","Tadey","MB_KOM201","1869000010001","92","92","0","0","0","0","mojca12","2022-10-19 13:45:34",NULL,NULL,"single","1"
"110576","18637","2594-911-18637","Glead","MLL03R0803","1863700010001","6","6","0","0","0","0","milena12","2022-10-19 07:23:27",NULL,NULL,"single","1"
"110577","17852","2352-911-17852","Coatsy","MDL02R1202","1785200010001","718","718","0","0","0","0","urska1","2022-10-19 08:49:01",NULL,NULL,"single","1"
"110578","18001","2431-911-18001","Funtingo","MB_KOM163","1800100010001","20","20","0","0","0","0","mojca12","2022-10-19 14:07:37",NULL,NULL,"single","1"
"110579","18680","2648-911-18680","TapesyX #green","MB_KOM299","1868000010001","287","287","0","0","0","0","lucijan1","2022-10-20 07:35:48",NULL,NULL,"single","1"
"110580","198","0003-911-198","Softy Max","MDL03R0508","19800010002","324","324","0","0","0","0","lucijan1","2022-10-19 08:56:48",NULL,NULL,"single","1"
"110581","17068","2083-911-17068","Aleccia # 38","MB_KOM294","1706800010001","17","18","1","0","0","0","lucijan1","2022-10-19 14:48:42",NULL,NULL,"single","1"
"110582","17986","2374-911-17986","Dolly","MLL01R1501","1798600010001","120","120","0","0","0","0","milena12","2022-10-21 12:31:03",NULL,NULL,"single","1"
"110583","15265","1815-911-15265","Estella #Sagittarius","MB_BN010105","1526500010001","10","9","-1","0","0","0","milena12","2022-10-19 10:38:20",NULL,NULL,"single","1"
"110584","11549","1440-911-11549","Rollero","MDL04R1104","1154900010001","900","900","0","0","0","0","mojca12","2022-10-19 08:57:16",NULL,NULL,"single","1"
"110585","17874","2357-911-17874","FidgyCube # Pink","MLL01R0104","1787400010001","1280","1280","0","0","0","0","lucijan1","2022-10-19 08:16:16",NULL,NULL,"single","1"
"110586","1156","0373-911-1156","AsanaFresh","MLL01R0109","115600010001","1017","1017","0","0","0","0","lucijan1","2022-10-19 08:41:22",NULL,NULL,"single","1"
"110587","17007","2022-911-17007","EasyO ( 5color set )","MB_KOM350","1700700010001","4","4","0","0","0","0","milena12","2022-10-20 07:38:19",NULL,NULL,"single","1"
"110588","5508","0844-911-5508","PureClean","MDL01R1703","550800010001","252","252","0","0","0","0","urska1","2022-10-19 07:27:31",NULL,NULL,"single","1"
"110589","17929","2365-911-17929","Neatzy","MDL03R0207","1792900010001","450","450","0","0","0","0","lucijan1","2022-10-19 08:48:53",NULL,NULL,"single","1"
"110590","18006","2452-911-18006","Yingo # Purple","MDL04R0907","1800600010001","76","100","24","0","0","0","urska1","2022-10-19 07:51:44",NULL,NULL,"single","1"
"110591","17969","2412-911-17969","Comzie # Rose gold","MDL04R1004","1796900010001","900","900","0","0","0","0","urska1","2022-10-21 10:11:03",NULL,NULL,"single","1"
"110592","18446","2502-911-18446","Convila #L (EUR M)","MLL03R1103","1844600010001","400","400","0","0","0","0","milena12","2022-10-19 07:19:38",NULL,NULL,"single","1"
"110593","18479","2531-911-18479","Ingeno","MDL03R0305","1847900010001","176","174","-2","0","0","0","lucijan1","2022-10-19 10:37:06",NULL,NULL,"single","1"
"110594","17631","2184-911-17631","AstraX","MB_KOM298","1763100010001","16","16","0","0","0","0","lucijan1","2022-10-19 14:30:56",NULL,NULL,"single","1"
"110595","10325","1345-911-10325","Hike2O","MDL04R0808","1032500010002","100","100","0","0","0","0","urska1","2022-10-20 09:39:07",NULL,NULL,"single","1"
"110596","2309","0341-911-2309","Omega 936 Project (LV)","MB_LV","230900010001","11","11","0","0","0","0","milena12","2022-10-19 09:53:04",NULL,NULL,"single","1"
"110597","314","0295-911-314","RectiStop","MDL03R0405","31400010003","960","960","0","0","0","0","lucijan1","2022-10-19 10:48:28",NULL,NULL,"single","1"
"110598","9499","1318-911-9499","Asherey #red","MDL04R0809","949900010001","360","360","0","0","0","0","urska1","2022-10-19 07:53:18",NULL,NULL,"single","1"
"110599","18803","2987-911-18803","Fanoro","MLL01R0801","1880300010001","99","99","0","0","0","0","lucijan1","2022-10-19 07:47:39",NULL,NULL,"single","1"
"110600","14466","1633-911-14466","NailPro","MB_KOM343","1446600010001","135","135","0","0","0","0","milena12","2022-10-19 14:37:57",NULL,NULL,"single","1"
"110601","235","0255-911-235","Foot Fix Pro","MLL02R1603","23500010001","1419","1419","0","0","0","0","mojca12","2022-10-19 07:29:31",NULL,NULL,"single","1"
"110602","17946","2382-911-17946","Glovi","MDL02R0809","1794600010001","1800","1500","-300","0","0","0","mojca12","2022-10-20 09:31:39",NULL,NULL,"single","1"
"110603","18591","2610-911-18591","Lenders","MB_KOM263","1859100010001","243","243","0","0","0","0","lucijan1","2022-10-19 13:17:36",NULL,NULL,"single","1"
"110604","1473","0341-911-1473","Omega 936 Project (SK)","MB_SK","147300010001","26","26","0","0","0","0","milena12","2022-10-19 09:57:30",NULL,NULL,"single","1"
"110605","15261","1815-911-15261","Estella #Gemini","MB_BN010205","1526100010001","10","10","0","0","0","0","milena12","2022-10-19 10:45:47",NULL,NULL,"single","1"
"110606","16794","2007-911-16794","Siena # Black","MDL04R1107","1679400010001","500","500","0","0","0","0","mojca12","2022-10-19 08:56:49",NULL,NULL,"single","1"
"110607","17007","2022-911-17007","EasyO ( 5color set )","MB_KOM351","1700700010002","5","1","-4","0","0","0","milena12","2022-10-20 07:41:11",NULL,NULL,"single","1"
"110608","18694","2659-911-18694","Racker","MB_KOM354","1869400010001","21","23","2","0","0","0","milena12","2022-10-20 08:03:41",NULL,NULL,"single","1"
"110609","18017","2391-911-18017","Drici # Blue","MDL03R0307","1801700010001","833","833","0","0","0","0","lucijan1","2022-10-19 08:53:13",NULL,NULL,"single","1"
"110610","20202","2440-911-20202","Twistty # Green","MLL01R0303","2020200010001","420","420","0","0","0","0","lucijan1","2022-10-19 08:08:00",NULL,NULL,"single","1"
"110611","5893","0880-911-5893","NanoFlex M (EUR S)","MLL01R0207","589300010001","30","30","0","0","0","0","mojca12","2022-10-19 08:27:13",NULL,NULL,"single","1"
"110612","18388","2162-911-18388","YogaTrain # XXXL (EUR XXXXL)","MLL01R0304","1838800010002","800","800","0","0","0","0","lucijan1","2022-10-19 08:09:50",NULL,NULL,"single","1"
"110613","16959","2074-911-16959","Kitty white","MB_KOM102","1695900010003","4","4","0","0","0","0","mojca12","2022-10-19 12:37:40",NULL,NULL,"single","1"
"110614","16959","2074-911-16959","Kitty white","MLL01R0902","1695900010004","480","480","0","0","0","0","lucijan1","2022-10-19 07:44:14",NULL,NULL,"single","1"
"110615","17525","2161-911-17525","Gredy # 36/37","MDL01R0801","1752500010002","14","14","0","0","0","0","urska1","2022-10-19 07:18:03",NULL,NULL,"single","1"
"110616","16743","1987-911-16743","Sonya","MB_KOM275","1674300010001","4","4","0","0","0","0","lucijan1","2022-10-19 14:17:08",NULL,NULL,"single","1"
"110617","4563","0369-911-4563","Monte Carlo Method (SI)","MDL03R0605","456300010001","640","640","0","0","0","0","lucijan1","2022-10-19 12:03:08",NULL,NULL,"single","1"
"110618","18791","2973-911-18791","Thousie","MB_KOM304","1879100010001","185","185","0","0","0","0","lucijan1","2022-10-20 07:37:49",NULL,NULL,"single","1"
"110619","2422","0329-911-2422","Tesla energy saver ECO (PT)","MB_PT","242200010001","48","48","0","0","0","0","milena12","2022-10-19 09:58:08",NULL,NULL,"single","1"
"110620","17524","2162-911-17524","YogaTrain # XXL (EUR XXXL)","MLL02R1403","1752400010002","600","600","0","0","0","0","mojca12","2022-10-19 07:26:29",NULL,NULL,"single","1"
"110621","18537","2559-911-18537","Gripy","MB_KOM169","1853700010001","62","61","-1","0","0","0","mojca12","2022-10-19 14:05:21",NULL,NULL,"single","1"
"110622","18688","2589-911-18688","Bindsy","MB_KOM276","1868800010001","10","10","0","0","0","0","lucijan1","2022-10-19 14:18:19",NULL,NULL,"single","1"
"110623","17959","2386-911-17959","Triell # 36-37","MB_KOM229","1795900010002","39","39","0","0","0","0","lucijan1","2022-10-20 08:18:13",NULL,NULL,"single","1"
"110624","18569","2606-911-18569","Kantick Plus","MB_KOM231","1856900010001","133","139","6","0","0","0","lucijan1","2022-10-20 08:38:15",NULL,NULL,"single","1"
"110625","18013","2402-911-18013","Grimbo # Blue","MLL02R1103","1801300010001","179","179","0","0","0","0","mojca12","2022-10-19 07:22:15",NULL,NULL,"single","1"
"110626","15603","1613-911-15603","CroPatria #XL","MB_KOM235","1560300010001","95","96","1","0","0","0","lucijan1","2022-10-20 08:30:37",NULL,NULL,"single","1"
"110627","17634","2176-911-17634","Bubblo","MDL04R1001","1763400010001","423","349","-74","0","0","0","lucijan1","2022-10-20 14:45:47",NULL,NULL,"single","1"
"110628","507","0329-911-507","Tesla energy saver ECO (HU)","MB_HU","50700010006","77","80","3","0","0","0","milena12","2022-10-19 09:45:50",NULL,NULL,"single","1"
"110629","17842","2246-911-17842","KitchPro","MB_PRIKOLICA_1","1784200010002","240","240","0","0","0","0","ermin12","2022-10-20 08:24:28",NULL,NULL,"single","1"
"110630","15268","1815-911-15268","Estella #Virgo","MB_BN010202","1526800010001","4","4","0","0","0","0","milena12","2022-10-19 10:43:25",NULL,NULL,"single","1"
